Marka,Model,Motor Hacmi,Güç,Yıl,Kilometre,Yakıt Tipi,Vites Türü,Garanti Durumu,Fiyat
Seat, Ibiza,1.0 Eco Tsi 110 Hp Dsg S&s Style,2024,6010, Benzin, Tiptronic, DS Garantisi,1170000
Renault, Megane,Sedan Icon 1.3 Tce 140 Bg Edc,2024,28700, Benzin, Tiptronic, DS Garantisi,1435000
Renault, Megane,Sedan Touch 1.3 Tce 140 Bg Edc,2024,27874, Benzin, Tiptronic, DS Garantisi,1355000
Renault, Clio,Evolution 1.0 Tce X-tronic 90 Bg,2024,22754, Benzin, Otomatik, DS Garantisi,1053000
Renault, Clio,Evolution 1.0 Tce X-tronic 90 Bg,2024,20692, Benzin, Otomatik, DS Garantisi,1048000
Renault, Clio,Evolution 1.0 Tce X-tronic 90 Bg,2024,18508, Benzin, Otomatik, Garantisiz,1046000
Renault, Clio,Evolution 1.0 Tce X-tronic 90 Bg,2024,22168, Benzin, Otomatik, DS Garantisi,1045000
Renault, Clio,Evolution 1.0 Tce X-tronic 90 Bg,2024,15835, Benzin, Otomatik, DS Garantisi,1040000
Renault, Clio,Evolution 1.0 Tce X-tronic 90 Bg,2024,15005, Benzin, Otomatik, DS Garantisi,1033750
Renault, Clio,Evolution 1.0 Tce X-tronic 90 Bg,2024,20332, Benzin, Otomatik, DS Garantisi,1032000
Renault, Clio,Evolution 1.0 Tce X-tronic 90 Bg,2024,27041, Benzin, Otomatik, Garantisiz,1030000
Renault, Clio,Evolution 1.0 Tce X-tronic 90 Bg,2024,12418, Benzin, Otomatik, Garantisiz,1019500
Renault, Clio,Evolution 1.0 Tce X-tronic 90 Bg,2024,19076, Benzin, Otomatik, Garantisiz,1010000
Renault, Clio,Evolution 1.0 Tce X-tronic 90 Bg,2024,20718, Benzin, Otomatik, DS Garantisi,1009900
Renault, Clio,Evolution 1.0 Tce X-tronic 90 Bg,2024,10560, Benzin, Otomatik, DS Garantisi,979900
Renault, Express,Combi Joy 1.5 Dci 95bg D-full,2024,29725, Dizel, Manuel, DS Garantisi,840000
Renault, Express,Combi Joy 1.5 Dci 95bg D-full,2024,37454, Dizel, Manuel, DS Garantisi,840000
Renault, Express,Combi Joy 1.5 Dci 95bg D-full,2024,32617, Dizel, Manuel, DS Garantisi,840000
Renault, Express,Combi Joy 1.5 Dci 95bg D-full,2024,27050, Dizel, Manuel, DS Garantisi,830000
Renault, Express,Combi Joy 1.5 Dci 95bg D-full,2024,33270, Dizel, Manuel, DS Garantisi,815000
Porsche, 718,Cayman Style Edition,2024,70, Benzin, Otomatik, DS Garantisi,11250000
Porsche, 718,Cayman Style Edition,2024,50, Benzin, Otomatik, DS Garantisi,10500000
Porsche, Macan,Macan,2024,6103, Benzin, Tiptronic, DS Garantisi,6390000
Peugeot, 3008,Allure 1.5 Bluehdi 130hp Eat8,2024,14320, Dizel, Tiptronic, DS Garantisi,1900000
Peugeot, 3008,Allure 1.5 Bluehdi 130hp Eat8,2024,17742, Dizel, Tiptronic, DS Garantisi,1859900
Peugeot, 3008,Allure 1.5 Bluehdi 130hp Eat8,2024,23185, Dizel, Tiptronic, DS Garantisi,1859000
Peugeot, 3008,Allure 1.5 Bluehdi 130hp Eat8,2024,14376, Dizel, Tiptronic, Garantisiz,1854250
Peugeot, 3008,Allure 1.5 Bluehdi 130hp Eat8,2024,16283, Dizel, Tiptronic, Garantisiz,1849500
Peugeot, 3008,Allure 1.5 Bluehdi 130hp Eat8,2024,18961, Dizel, Tiptronic, Garantisiz,1849250
Peugeot, 3008,Allure 1.5 Bluehdi 130hp Eat8,2024,19906, Dizel, Tiptronic, Garantisiz,1849250
Peugeot, Expert Traveller,Allure L3 8+1 2.0 Bluehdi 180hp Eat8,2024,6101, Dizel, Tiptronic, DS Garantisi,1545500
Peugeot, 2008,Allure 1.2 Puretech 130hp Eat8,2024,14958, Benzin, Tiptronic, Garantisiz,1519750
Peugeot, 2008,Allure 1.2 Puretech 130hp Eat8,2024,14313, Benzin, Tiptronic, Garantisiz,1519500
Peugeot, 2008,Allure 1.2 Puretech 130hp Eat8,2024,15889, Benzin, Tiptronic, DS Garantisi,1479900
Peugeot, 2008,Active Prime 1.2 Puretech 130hp Eat8,2024,12525, Benzin, Tiptronic, Garantisiz,1430000
Peugeot, 2008,Active Prime 1.2 Puretech 130hp Eat8,2024,14105, Benzin, Tiptronic, DS Garantisi,1389000
Opel, Astra,Hb 1.2 130hp Benzin At8 Edition,2024,22620, Benzin, Tiptronic, Garantisiz,1360000
Opel, Astra,Hb 1.2 130hp Benzin At8 Edition,2024,26512, Benzin, Tiptronic, Garantisiz,1360000
Opel, Astra,Hb 1.2 130hp Benzin At8 Edition,2024,23175, Benzin, Tiptronic, Garantisiz,1350000
Opel, Mokka,1.2 Turbo 130hp Edition,2024,13374, Benzin, Tiptronic, Garantisiz,1289500
Opel, Mokka,1.2 Turbo 130hp Edition,2024,21385, Benzin, Tiptronic, Garantisiz,1288900
Opel, Crossland,1.2 Benzinli At-6 130hp Essential,2024,15303, Benzin, Tiptronic, DS Garantisi,1115000
Opel, Crossland,1.2 Benzinli At-6 130hp Essential,2024,15673, Benzin, Tiptronic, DS Garantisi,1099900
Opel, Crossland,1.2 Benzinli At-6 130hp Essential,2024,20835, Benzin, Tiptronic, Garantisiz,1097500
Opel, Corsa,1.2 Benzinli At8 100 Hp Edition,2024,16383, Benzin, Tiptronic, DS Garantisi,1085000
Opel, Crossland,1.2 Benzinli At-6 130hp Essential,2024,22654, Benzin, Tiptronic, Garantisiz,1079500
Opel, Corsa,1.2 Benzinli At8 100 Hp Edition,2024,20223, Benzin, Tiptronic, Garantisiz,1060000
Opel, Corsa,1.2 Benzinli At8 100 Hp Edition,2024,27563, Benzin, Tiptronic, Garantisiz,1050000
Opel, Corsa,1.2 Benzinli At8 100 Hp Edition,2024,15202, Benzin, Tiptronic, DS Garantisi,1044500
Mg, Hs,Luxury 1.5 T-gdi 162 Ps,2024,18065, Benzin, Tiptronic, DS Garantisi,1499900
Mg, Hs,Luxury 1.5 T-gdi 162 Ps,2024,15304, Benzin, Tiptronic, Garantisiz,1429500
Mg, Hs,Luxury 1.5 T-gdi 162 Ps,2024,19158, Benzin, Tiptronic, Garantisiz,1429500
Mg, Hs,Luxury 1.5 T-gdi 162 Ps,2024,14479, Benzin, Tiptronic, Garantisiz,1429500
Mg, Hs,1.5 T-gdi 170 Ps Luxury,2024,11676, Benzin, Tiptronic, DS Garantisi,1429500
Mg, Hs,Luxury 1.5 T-gdi 162 Ps,2024,14831, Benzin, Tiptronic, DS Garantisi,1429000
Mg, Hs,Luxury 1.5 T-gdi 162 Ps,2024,9765, Benzin, Tiptronic, DS Garantisi,1429000
Mg, Hs,Luxury 1.5 T-gdi 162 Ps,2024,16845, Benzin, Tiptronic, DS Garantisi,1428950
Hyundai, I20,1.4 Mpi 100 Ps Jump Benzin Otomatik,2024,15156, Benzin, Tiptronic, DS Garantisi,1025000
Hyundai, I20,1.4 Mpi 100 Ps Jump Benzin Otomatik,2024,15171, Benzin, Tiptronic, Garantisiz,989750
Fiat, Egea,1.6 Mjet 130hp Urban Dct,2024,23276, Dizel, Tiptronic, DS Garantisi,1205000
Fiat, Egea,1.6 Mjet 130hp Urban Dct,2024,17676, Dizel, Tiptronic, DS Garantisi,1199950
Fiat, Doblo Combi,Premio Plus 1.5 130 Hp Bluehdi E6.4 At,2024,14900, Dizel, Tiptronic, DS Garantisi,1155000
Fiat, Doblo Combi,Easy 1.5 100 Hp Bluehdi E6.4,2024,6567, Dizel, Manuel, Garantisiz,947000
Fiat, Egea,1.3 Mjet Ii Ds 95 Hp Easy,2024,22902, Dizel, Manuel, Garantisiz,895000
Fiat, Egea,1.4 Fire Bz 95 Hp Easy Plus Paketli,2024,23580, Benzin, Manuel, Garantisiz,810000
Fiat, Egea,1.4 Fire Bz 95 Hp Easy,2024,13547, Benzin, Manuel, DS Garantisi,799000
Fiat, Egea,1.4 Fire Bz 95 Hp Easy,2024,14300, Benzin, Manuel, DS Garantisi,799000
Cupra, Formentor,1.5 Tsi Act 150 Hp Dsg,2024,20654, Benzin, Tiptronic, DS Garantisi,1939000
Citroen, Ds 7,Opera 1.5 Bluehdi 130 Otomatik,2024,17192, Dizel, Tiptronic, Garantisiz,2499900
Citroen, C4 X,1.2 Puretech 130hp Shine Eat8,2024,13678, Benzin, Tiptronic, DS Garantisi,1289900
Citroen, C4 X,1.2 Puretech 130hp Shine Bold Eat8,2024,14900, Benzin, Tiptronic, Garantisiz,1289900
Citroen, C4 X,1.2 Puretech 130hp Shine Eat8,2024,20880, Benzin, Tiptronic, DS Garantisi,1289750
Citroen, C4 X,1.2 Puretech 130hp Shine Bold Eat8,2024,10740, Benzin, Tiptronic, Garantisiz,1280000
Citroen, C4 X,1.2 Puretech 130hp Shine Eat8,2024,18875, Benzin, Tiptronic, DS Garantisi,1249000
Citroen, C4 X,1.2 Puretech 130hp Shine Eat8,2024,15237, Benzin, Tiptronic, Garantisiz,1219750
Citroen, C-elysee,Feel 1.5 Bluehdi 100hp,2024,29725, Dizel, Manuel, Garantisiz,910000
Citroen, C-elysee,Feel 1.5 Bluehdi 100hp,2024,30078, Dizel, Manuel, Garantisiz,900000
Citroen, C-elysee,Feel 1.5 Bluehdi 100hp,2024,25150, Dizel, Manuel, Garantisiz,898000
Citroen, C-elysee,Feel 1.5 Bluehdi 100hp,2024,30226, Dizel, Manuel, Garantisiz,895000
Chery, Tiggo8 Pro,1.6 Tgdi Avantgarde,2024,8940, Benzin, Tiptronic, DS Garantisi,1685000
Audi, A6,40 Tdi Quattro 204 Hp Advanced Stronic,2024,18000, Hibrit, Tiptronic, DS Garantisi,5250000
Audi, A5,Cabrio 45 Tfsi Qtr Str 265hp S Line Pi,2024,11410, Hibrit, Tiptronic, DS Garantisi,4120000
Audi, A5,Sb 45 Tfsi Qtr Str 265 Hp S Line Pi,2024,17051, Hibrit, Tiptronic, DS Garantisi,4065000
Audi, Q3 Sportback,Sportback 35 Tfsi 150hp Str S Line,2024,18660, Hibrit, Tiptronic, DS Garantisi,3020000
Audi, Q3,35 Tfsi 150hp Str Advanced,2024,13590, Hibrit, Tiptronic, DS Garantisi,2725000
Audi, Q3,35 Tfsi 150hp Str Advanced,2024,12042, Hibrit, Tiptronic, DS Garantisi,2715000
Audi, A3,Sback 35 Tfsi 150 Hp Advanced Str,2024,8937, Hibrit, Tiptronic, DS Garantisi,2059900
Audi, Q2,35 Tfsi 150 Hp Stronic Advanced Pi,2024,21361, Benzin, Tiptronic, DS Garantisi,2029000
Audi, Q2,35 Tfsi 150 Hp Stronic Advanced Pi,2024,16009, Benzin, Tiptronic, DS Garantisi,1994500
Audi, Q2,35 Tfsi 150 Hp Stronic Advanced Pi,2024,16167, Benzin, Tiptronic, DS Garantisi,1994000
Audi, Q2,35 Tfsi 150 Hp Stronic Advanced Pi,2024,15254, Benzin, Tiptronic, DS Garantisi,1984900
Volvo, V90 Cross Country,2.0 B5 235hp Awd Plus Bright,2023,49364, Hibrit, Tiptronic, DS Garantisi,3380000
Volvo, S60,"B5 Awd 250hp Plus, Dark",2023,6571, Hibrit, Tiptronic, DS Garantisi,3320000
Volkswagen, Touareg,3.0 V6 Tdi Scr 286 Ps 4m Tiptr R-line,2023,32000, Dizel, Tiptronic, DS Garantisi,6375000
Volkswagen, Multivan,1.4 Tsi Ehybrid 6+1 218 Ps Style Dsg,2023,6325, Hibrit, Tiptronic, DS Garantisi,3925000
Volkswagen, Multivan,1.4 Tsi Ehybrid 6+1 218 Ps Style Dsg,2023,9950, Hibrit, Tiptronic, DS Garantisi,3750000
Volkswagen, Amarok,V6 3.0 Tdi 240 Ps Panam. Oto. 4motion,2023,6100, Dizel, Tiptronic, DS Garantisi,2600000
Volkswagen, Golf Gti,2.0 Tsi 245 Ps Gti Dsg,2023,6551, Benzin, Tiptronic, DS Garantisi,2490000
Volkswagen, Golf Gti,2.0 Tsi 245 Ps Gti Dsg,2023,6013, Benzin, Tiptronic, Garantisiz,2490000
Volkswagen, Golf Gti,2.0 Tsi 245 Ps Gti Dsg,2023,6012, Benzin, Tiptronic, DS Garantisi,2490000
Volkswagen, Golf Gti,2.0 Tsi 245 Ps Gti Dsg,2023,6112, Benzin, Tiptronic, DS Garantisi,2450000
Volkswagen, Tiguan,1.5 Tsi Act 150 Ps R-line Dsg,2023,16917, Benzin, Tiptronic, DS Garantisi,2429000
Volkswagen, Tiguan,1.5 Tsi Act 150 Ps R-line Dsg,2023,45779, Benzin, Tiptronic, DS Garantisi,2285000
Volkswagen, Amarok,V6 3.0 Tdi 240 Ps Panam. Oto. 4motion,2023,41870, Dizel, Tiptronic, DS Garantisi,2259500
Volkswagen, Tiguan,1.5 Tsi Act 150 Ps Elegance Dsg,2023,19700, Benzin, Tiptronic, DS Garantisi,2140000
Volkswagen, Tiguan,1.5 Tsi Act 150 Ps Elegance Dsg,2023,39415, Benzin, Tiptronic, DS Garantisi,1995000
Volkswagen, Passat Variant,1.5 Tsi Act 150 Ps Elegance Dsg,2023,23217, Benzin, Tiptronic, DS Garantisi,1893000
Volkswagen, Tiguan,1.5 Tsi Act 150 Ps Life Dsg,2023,22585, Benzin, Tiptronic, DS Garantisi,1835000
Volkswagen, T-roc,1.5 Tsi 150ps R-line Dsg,2023,17389, Benzin, Tiptronic, DS Garantisi,1825000
Volkswagen, Passat Variant,1.5 Tsi Act 150 Ps Elegance Dsg,2023,12800, Benzin, Tiptronic, DS Garantisi,1820000
Volkswagen, Tiguan,1.5 Tsi Act 150 Ps Life Dsg,2023,68600, Benzin, Tiptronic, DS Garantisi,1800000
Volkswagen, Passat Variant,1.5 Tsi Act 150 Ps Elegance Dsg,2023,29079, Benzin, Tiptronic, Garantisiz,1799900
Volkswagen, T-roc,1.5 Tsi 150ps R-line Dsg,2023,16851, Benzin, Tiptronic, Garantisiz,1789250
Volkswagen, Golf,1.5 Etsi 150ps Style Dsg,2023,23978, Hibrit, Tiptronic, Garantisiz,1779500
Volkswagen, Golf,1.5 Etsi 150ps Style Dsg,2023,23012, Hibrit, Tiptronic, DS Garantisi,1760000
Volkswagen, T-roc,1.5 Tsi 150ps R-line Dsg,2023,32514, Benzin, Tiptronic, DS Garantisi,1760000
Volkswagen, T-roc,1.5 Tsi 150ps R-line Dsg,2023,33301, Benzin, Tiptronic, DS Garantisi,1760000
Volkswagen, T-roc,1.5 Tsi 150ps R-line Dsg,2023,29537, Benzin, Tiptronic, DS Garantisi,1755000
Volkswagen, Passat Variant,1.5 Tsi Act 150 Ps Business Dsg,2023,17889, Benzin, Tiptronic, DS Garantisi,1735500
Volkswagen, T-roc,1.5 Tsi 150ps R-line Dsg,2023,51112, Benzin, Tiptronic, DS Garantisi,1720000
Volkswagen, Taigo,1.5 Tsi 150ps R-line Dsg,2023,13420, Benzin, Tiptronic, DS Garantisi,1699950
Volkswagen, T-roc,1.5 Tsi 150ps Style Dsg,2023,37500, Benzin, Tiptronic, DS Garantisi,1690000
Volkswagen, T-roc,1.5 Tsi 150ps Style Dsg,2023,14792, Benzin, Tiptronic, DS Garantisi,1686000
Volkswagen, Taigo,1.0 Tsi 110ps R-line Dsg,2023,28562, Benzin, Tiptronic, DS Garantisi,1648000
Volkswagen, Golf,1.5 Etsi 150ps Style Dsg,2023,25752, Hibrit, Tiptronic, DS Garantisi,1645000
Volkswagen, Taigo,1.0 Tsi 110ps Style Dsg,2023,6144, Benzin, Tiptronic, DS Garantisi,1600000
Volkswagen, Golf,1.0 Etsi 110ps Style Dsg,2023,15449, Hibrit, Tiptronic, DS Garantisi,1549750
Volkswagen, T-roc,1.5 Tsi 150ps Life Dsg,2023,47038, Benzin, Tiptronic, Garantisiz,1548750
Volkswagen, Taigo,1.0 Tsi 110ps R-line Dsg,2023,28517, Benzin, Tiptronic, DS Garantisi,1525000
Volkswagen, Passat Variant,1.5 Tsi Act 150 Ps Business Dsg,2023,24232, Benzin, Tiptronic, Garantisiz,1518750
Volkswagen, Taigo,1.0 Tsi 110ps R-line Dsg,2023,27000, Benzin, Tiptronic, DS Garantisi,1509000
Volkswagen, Passat Variant,1.5 Tsi Act 150 Ps Business Dsg,2023,37108, Benzin, Tiptronic, DS Garantisi,1500000
Volkswagen, Taigo,1.0 Tsi 110ps R-line Dsg,2023,21685, Benzin, Tiptronic, Garantisiz,1498750
Volkswagen, Caddy,2.0 Tdi 122 Ps Style Dsg,2023,56425, Dizel, Tiptronic, DS Garantisi,1452500
Volkswagen, Golf,1.0 Etsi 110ps Life Dsg,2023,32980, Hibrit, Tiptronic, Garantisiz,1449500
Volkswagen, Golf,1.0 Etsi 110ps Life Dsg,2023,49198, Hibrit, Tiptronic, Garantisiz,1447500
Volkswagen, T-roc,1.5 Tsi 150ps Life Dsg,2023,29135, Benzin, Tiptronic, Garantisiz,1429900
Volkswagen, Caddy,2.0 Tdi 122 Ps Style Dsg,2023,38356, Dizel, Tiptronic, DS Garantisi,1398000
Volkswagen, Caddy,2.0 Tdi 122 Ps Style Dsg,2023,40739, Dizel, Tiptronic, DS Garantisi,1393000
Volkswagen, Crafter,"2+1 Mwb Hr 140ps 3,5t Comfortline",2023,25000, Dizel, Manuel, DS Garantisi,1387900
Volkswagen, Taigo,1.0 Tsi 110ps Life Dsg,2023,17868, Benzin, Tiptronic, DS Garantisi,1320000
Volkswagen, Taigo,1.0 Tsi 110ps Life Dsg,2023,26512, Benzin, Tiptronic, DS Garantisi,1319000
Volkswagen, Polo,1.0 Tsi 95 Ps Life Dsg,2023,24355, Benzin, Tiptronic, DS Garantisi,1300000
Volkswagen, T-cross,1.0 Tsi 110ps Style Dsg,2023,39750, Benzin, Tiptronic, DS Garantisi,1299000
Volkswagen, T-cross,1.0 Tsi 110ps Life Dsg,2023,24250, Benzin, Tiptronic, DS Garantisi,1299000
Volkswagen, Polo,1.0 Tsi 95 Ps Life Dsg,2023,15426, Benzin, Tiptronic, DS Garantisi,1250000
Volkswagen, Taigo,1.0 Tsi 110ps Life Dsg,2023,60486, Benzin, Tiptronic, Garantisiz,1249900
Volkswagen, Caddy,2.0 Tdi 122 Ps Life Dsg,2023,49925, Dizel, Tiptronic, DS Garantisi,1220000
Volkswagen, Polo,1.0 Tsi 95 Ps Life Dsg,2023,31584, Benzin, Tiptronic, DS Garantisi,1210000
Volkswagen, Polo,1.0 Tsi 95 Ps Life Dsg,2023,15470, Benzin, Tiptronic, DS Garantisi,1205000
Volkswagen, Polo,1.0 Tsi 95 Ps Life Dsg,2023,27450, Benzin, Tiptronic, DS Garantisi,1200000
Volkswagen, Polo,1.0 Tsi 95 Ps Life Dsg,2023,19610, Benzin, Tiptronic, DS Garantisi,1200000
Volkswagen, Polo,1.0 Tsi 95 Ps Life Dsg,2023,25500, Benzin, Tiptronic, DS Garantisi,1200000
Volkswagen, Polo,1.0 Tsi 95 Ps Life Dsg,2023,26651, Benzin, Tiptronic, DS Garantisi,1185000
Volkswagen, Golf,1.0 Tsi 110ps Impression,2023,22170, Benzin, Manuel, DS Garantisi,1175000
Volkswagen, Caddy,2.0 Tdi 122 Ps Impression Dsg,2023,50291, Dizel, Tiptronic, Garantisiz,1160000
Volkswagen, T-cross,1.0 Tsi 110ps Life,2023,30290, Benzin, Manuel, Garantisiz,1159500
Volkswagen, Polo,1.0 Tsi 95 Ps Life Dsg,2023,40509, Benzin, Tiptronic, Garantisiz,1150000
Volkswagen, Polo,1.0 Tsi 95 Ps Life Dsg,2023,27635, Benzin, Tiptronic, Garantisiz,1149750
Volkswagen, Polo,1.0 Tsi 95 Ps Life Dsg,2023,29210, Benzin, Tiptronic, DS Garantisi,1138750
Volkswagen, T-cross,1.0 Tsi 110ps Life,2023,30294, Benzin, Manuel, DS Garantisi,1115000
Volkswagen, Polo,1.0 Tsi 95 Ps Life Dsg,2023,49885, Benzin, Tiptronic, DS Garantisi,1099000
Volkswagen, Polo,1.0 Tsi 95 Ps Life Dsg,2023,46037, Benzin, Tiptronic, Garantisiz,1089900
Volkswagen, Polo,1.0 80 Ps Impression Man,2023,45265,Bilinmiyor, Manuel, DS Garantisi,893000
Toyota, Corolla,Hybrid Flame X-pack E-cvt,2023,29671, Hibrit, Otomatik, Garantisiz,1549750
Toyota, Corolla,Hybrid Dream E-cvt,2023,22900, Hibrit, Otomatik, Garantisiz,1450000
Toyota, Corolla,1.5 Dream X-pack Multidrive S,2023,12691, Benzin,Bilinmiyor, DS Garantisi,1420000
Toyota, Corolla,1.5 Dream X-pack Multidrive S,2023,10031, Benzin,Bilinmiyor, Garantisiz,1389900
Skoda, Kodiaq,2.0 Tsi 245ps Dsg 4x4 Rs,2023,42000, Benzin, Tiptronic, DS Garantisi,3725000
Skoda, Kodiaq,1.5 Tsi 150ps Act Dsg Prestige,2023,61339, Benzin, Tiptronic, Garantisiz,2258000
Skoda, Kodiaq,1.5 Tsi 150ps Act Dsg Prestige,2023,46235, Benzin, Tiptronic, DS Garantisi,2200000
Skoda, Superb,Combi 1.5 Tsi Act 150ps Dsg Sportline,2023,6874, Benzin, Tiptronic, DS Garantisi,2115000
Skoda, Superb,1.5 Tsi 150 Ps Dsg Act Prestige,2023,29991, Benzin, Tiptronic, Garantisiz,2098750
Skoda, Karoq,1.5 Tsi 150 Ps Act Dsg Sportline,2023,13495, Benzin, Tiptronic, DS Garantisi,2095000
Skoda, Karoq,1.5 Tsi 150 Ps Act Dsg Sportline,2023,21800, Benzin, Tiptronic, DS Garantisi,2080000
Skoda, Superb,1.5 Tsi 150 Ps Dsg Act Prestige,2023,37445, Benzin, Tiptronic, DS Garantisi,2060000
Skoda, Octavia,1.5 Tsi Act E-tec 150 Ps Dsg Sportline,2023,9866, Hibrit, Tiptronic, DS Garantisi,1998500
Skoda, Octavia,1.5 Tsi Act E-tec 150 Ps Dsg Sportline,2023,16255, Hibrit, Tiptronic, DS Garantisi,1990000
Skoda, Karoq,1.5 Tsi 150 Ps Act Dsg Prestige,2023,17328, Benzin, Tiptronic, DS Garantisi,1950000
Skoda, Superb,1.5 Tsi 150 Ps Dsg Act Prestige,2023,34999, Benzin, Tiptronic, DS Garantisi,1950000
Skoda, Karoq,1.5 Tsi 150 Ps Act Dsg Prestige,2023,26837, Benzin, Tiptronic, DS Garantisi,1930000
Skoda, Superb,1.5 Tsi 150 Ps Dsg Act Prestige,2023,29320, Benzin, Tiptronic, DS Garantisi,1910000
